Technology,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GBPR_WOOD1,7200,7501,7837,7996,8154,8313,8472,8631,8789,9022,9255,9488,9721,9954,10187,10420,10653,10886,11119
GBPR_COAL1,1460,1460,1460,1450,1439,1429,1418,1408,1398,1363,1328,1293,1258,1223,1188,1153,1118,1083,1048
GBPR_NATGAS1,10117,10117,10117,10378,10639,10900,11161,11422,11683,12096,12508,12921,13334,13746,14159,14571,14984,15397,15809
GBPR_FUELOIL1,1222,1171,1120,1069,1018,967,917,866,815,776,738,699,660,621,583,544,505,467,428
GBPR_FUELOIL2,4288,4192,4188,3728,3268,2808,2349,1889,1429,1501,1572,1644,1715,1786,1858,1929,2001,2072,2144
GBPR_LIGNITE1,893,887,880,874,868,861,855,849,842,821,800,778,757,736,714,693,671,650,629
GCND_WOOD2,,,,,,,,,,,,,,,,,,,
GCND_WOOD3,,,,,,,,,,,,,,,,,,,
GCND_WOOD4,,,,,,,,,,,,,,,,,,,
GCND_COAL1,,,,,,,,,,591,1183,1774,2366,2957,3549,4140,4732,5323,5915
GCND_COAL2,3557,4344,4557,5175,5792,6410,7028,7646,8263,8263,8263,8263,8263,8263,8263,8263,8263,8263,8263
GCND_COAL3,5928,5928,5928,5928,5928,5928,5928,5928,5928,5928,5928,5928,5928,5928,5928,5928,5928,4966,3807
GCND_COAL4,14227,14227,14227,13434,12640,11847,11054,10261,9467,8309,7150,5991,4832,3673,2514,1355,196,,
GCND_NATGAS1,,628,1256,1884,2512,3140,3769,4397,5025,5902,6779,7656,8534,9411,10288,11165,12042,12920,13797
GCND_NATGAS2,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7282,6909,6536,6163
GCND_NATGAS3,2473,2473,2473,2473,2473,2473,2473,2473,2473,2100,1727,1354,981,608,236,,,,
GCND_NATGAS4,2473,2164,1855,1546,1237,927,618,309,,,,,,,,,,,
GCND_LIGNITE1,,,,508,1016,1523,2031,2539,3047,3533,4019,4505,4992,5478,5964,6450,6936,7422,7909
GCND_LIGNITE2,8149,8149,8149,8149,8149,8149,8149,8149,8149,8149,8149,8149,8149,8149,8149,8149,8149,7637,6663
GCND_LIGNITE3,4074,4074,4074,4074,4074,4074,4074,4074,4074,4074,4074,4074,4074,3383,2409,1436,462,,
GCND_LIGNITE4,8149,8089,8089,7437,6785,6133,5481,4829,4177,3203,2229,1256,282,,,,,,
GCND_FUELOIL1,950,911,871,831,792,752,713,673,634,604,574,544,513,483,453,423,393,363,333
GCND_FUELOIL2,950,911,871,831,792,752,713,673,634,604,574,544,513,483,453,423,393,363,333
GCND_FUELOIL3,950,911,871,831,792,752,713,673,634,604,574,544,513,483,453,423,393,363,333
GCND_NUCLEAR,12003,12003,12003,12003,10728,10728,9444,9444,8052,8052,4034,,,,,,,,
GHYRR_WATER,3523,3637,3683,3726,3770,3813,3856,3899,3943,3994,4046,4098,4150,4202,4254,4305,4357,4409,4461
GHYRS_WATER,6427,6433,6438,6444,6450,6456,6462,6468,6474,6477,6481,6484,6487,6491,6494,6498,6501,6505,6508
GHYRS_WATER1,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER2,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER3,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER4,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER5,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER6,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER7,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER8,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER9,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GHYRS_WATER10,643,643,644,644,645,646,646,647,647,648,648,648,649,649,649,650,650,650,651
GSOLE_SUN,33033,36337,38871,40669,42592,44515,46438,48361,50284,52056,53827,55599,57370,59142,60914,62685,64457,66228,68000
GWND_WIND,30556,33457,36807,37314,39756,42199,44642,47085,49527,50111,50695,51278,51862,52445,53029,53612,54196,54779,55363
GWND_WIND,268,508,993,3256,3999,4741,5484,6226,6969,7447,7926,8404,8883,9362,9840,10319,10798,11276,11755
