country,federal_state,balmorel_fuel,average_efficiency_2017,fuel_share_gross
DE,Schleswig-Holstein,COAL,0.8,21
DE,Schleswig-Holstein,FUELOIL,0.8,5
DE,Schleswig-Holstein,NGAS,0.8,67
DE,Schleswig-Holstein,MSW,0.8,7
DE,Schleswig-Holstein,BGAS,0.8,
DE,Schleswig-Holstein,ELEC,0.8,
DE,Mecklenburg-Vorpommern,COAL,0.8,4
DE,Mecklenburg-Vorpommern,FUELOIL,0.8,1
DE,Mecklenburg-Vorpommern,NGAS,0.8,94
DE,Mecklenburg-Vorpommern,MSW,0.8,
DE,Mecklenburg-Vorpommern,BGAS,0.8,
DE,Mecklenburg-Vorpommern,ELEC,0.8,1
DE,Hamburg,COAL,0.8,
DE,Hamburg,FUELOIL,0.8,
DE,Hamburg,NGAS,0.8,29
DE,Hamburg,MSW,0.8,71
DE,Hamburg,BGAS,0.8,
DE,Hamburg,ELEC,0.8,
DE,Bremen,COAL,0.8,
DE,Bremen,FUELOIL,0.8,8
DE,Bremen,NGAS,0.8,88
DE,Bremen,MSW,0.8,
DE,Bremen,BGAS,0.8,4
DE,Bremen,ELEC,0.8,
DE,Niedersachsen,COAL,0.8,18
DE,Niedersachsen,FUELOIL,0.8,1
DE,Niedersachsen,NGAS,0.8,78
DE,Niedersachsen,MSW,0.8,
DE,Niedersachsen,BGAS,0.8,2
DE,Niedersachsen,ELEC,0.8,1
DE,Brandenburg,COAL,0.8,5
DE,Brandenburg,FUELOIL,0.8,1
DE,Brandenburg,NGAS,0.8,90
DE,Brandenburg,MSW,0.8,
DE,Brandenburg,BGAS,0.8,4
DE,Brandenburg,ELEC,0.8,
DE,Berlin,COAL,0.8,6
DE,Berlin,FUELOIL,0.8,3
DE,Berlin,NGAS,0.8,84
DE,Berlin,MSW,0.8,4
DE,Berlin,BGAS,0.8,3
DE,Berlin,ELEC,0.8,
DE,Sachsen-Anhalt,COAL,0.8,
DE,Sachsen-Anhalt,FUELOIL,0.8,5
DE,Sachsen-Anhalt,NGAS,0.8,95
DE,Sachsen-Anhalt,MSW,0.8,
DE,Sachsen-Anhalt,BGAS,0.8,
DE,Sachsen-Anhalt,ELEC,0.8,
DE,Nordrhein-Westfalen,COAL,0.8,1
DE,Nordrhein-Westfalen,FUELOIL,0.8,13
DE,Nordrhein-Westfalen,NGAS,0.8,77
DE,Nordrhein-Westfalen,MSW,0.8,4
DE,Nordrhein-Westfalen,BGAS,0.8,1
DE,Nordrhein-Westfalen,ELEC,0.8,4
DE,Hessen,COAL,0.8,
DE,Hessen,FUELOIL,0.8,4
DE,Hessen,NGAS,0.8,87
DE,Hessen,MSW,0.8,6
DE,Hessen,BGAS,0.8,3
DE,Hessen,ELEC,0.8,
DE,Thüringen,COAL,0.8,
DE,Thüringen,FUELOIL,0.8,1
DE,Thüringen,NGAS,0.8,99
DE,Thüringen,MSW,0.8,
DE,Thüringen,BGAS,0.8,
DE,Thüringen,ELEC,0.8,
DE,Sachsen,COAL,0.8,3
DE,Sachsen,FUELOIL,0.8,1
DE,Sachsen,NGAS,0.8,96
DE,Sachsen,MSW,0.8,
DE,Sachsen,BGAS,0.8,
DE,Sachsen,ELEC,0.8,
DE,Rheinland-Pfalz,COAL,0.8,
DE,Rheinland-Pfalz,FUELOIL,0.8,9
DE,Rheinland-Pfalz,NGAS,0.8,86
DE,Rheinland-Pfalz,MSW,0.8,
DE,Rheinland-Pfalz,BGAS,0.8,5
DE,Rheinland-Pfalz,ELEC,0.8,
DE,Saarland,COAL,0.8,
DE,Saarland,FUELOIL,0.8,
DE,Saarland,NGAS,0.8,
DE,Saarland,MSW,0.8,
DE,Saarland,BGAS,0.8,
DE,Saarland,ELEC,0.8,
DE,Baden-Württemberg,COAL,0.8,23
DE,Baden-Württemberg,FUELOIL,0.8,3
DE,Baden-Württemberg,NGAS,0.8,64
DE,Baden-Württemberg,MSW,0.8,5
DE,Baden-Württemberg,BGAS,0.8,2
DE,Baden-Württemberg,ELEC,0.8,3
DE,Bayern,COAL,0.8,
DE,Bayern,FUELOIL,0.8,3
DE,Bayern,NGAS,0.8,41
DE,Bayern,MSW,0.8,31
DE,Bayern,BGAS,0.8,6
DE,Bayern,ELEC,0.8,19
