grid_id,tso,balmorel_DE1,balmorel_DE4,balmorel_DE5,balmorel_DE18
921,TenneT,DE1,DE4-N,DE5-N,DE18-21
922,TenneT,DE1,DE4-W,DE5-NW,DE18-22
923,TenneT,DE1,DE4-W,DE5-W,DE18-23
924,TenneT,DE1,DE4-W,DE5-W,DE18-24
925,TenneT,DE1,DE4-S,DE5-S,DE18-25
926,TenneT,DE1,DE4-S,DE5-S,DE18-26
941,TransnetBW,DE1,DE4-S,DE5-S,DE18-41
942,TransnetBW,DE1,DE4-S,DE5-S,DE18-42
971,Amprion,DE1,DE4-W,DE5-W,DE18-71
972,Amprion,DE1,DE4-W,DE5-W,DE18-72
973,Amprion,DE1,DE4-W,DE5-W,DE18-73
974,Amprion,DE1,DE4-W,DE5-W,DE18-74
975,Amprion,DE1,DE4-S,DE5-S,DE18-75
976,Amprion,DE1,DE4-S,DE5-S,DE18-76
981,50Hertz,DE1,DE4-E,DE5-E,DE18-81
982,50Hertz,DE1,DE4-N,DE5-N,DE18-82
983,50Hertz,DE1,DE4-E,DE5-E,DE18-83
984,50Hertz,DE1,DE4-E,DE5-E,DE18-84
